GM102B_rel,GM302B_rel,GM502B_rel,GM702B_rel,temperature,humidity,treatment,timestamp,time
0.0,0.0,0.0,0.0,31.53,48.02,210668R2_20250621_141914,1750490354.8909733,1
-0.005072100000006685,0.0397514000000001,-0.025167159999909927,0.23851342000034492,31.53,48.0,210668R2_20250621_141914,1750490354.8909733,2
-0.007608150000010028,0.059627100000057,-0.03775073999997858,-0.6422298699999374,31.53,47.99,210668R2_20250621_141914,1750490354.8909733,3
-0.7414622399999189,-0.615052409999862,-0.5986699499999304,-1.9126128399998379,31.56,48.02,210668R2_20250621_141914,1750490354.8909733,4
-0.2598343299999897,-0.105638969999859,-0.2624745499998653,0.29207927000015843,31.54,47.97,210668R2_20250621_141914,1750490354.8909733,5
0.7427017200000137,-0.1255146699999159,-0.24989096999979665,0.17282256000021334,31.54,47.98,210668R2_20250621_141914,1750490354.8909733,6
0.745237770000017,-0.1453903699998591,-0.2373073899998417,0.053565850000268256,31.54,47.99,210668R2_20250621_141914,1750490354.8909733,7
-0.49814077999997153,-1.110850619999951,-1.2728413799999316,-1.1096854199997779,31.59,47.96,210668R2_20250621_141914,1750490354.8909733,8
-0.5285733800000116,-0.8723422199999504,-1.4238443399999596,0.3213951000002453,31.59,47.84,210668R2_20250621_141914,1750490354.8909733,9
0.19513651000011123,-0.11815990999980386,-0.9132594499999414,2.068804910000381,31.56,47.77,210668R2_20250621_141914,1750490354.8909733,10
-0.29280298000003313,-0.8472548699999152,-0.42606108999984826,-0.1575834999998733,31.54,47.84,210668R2_20250621_141914,1750490354.8909733,11
-2.2738111500000286,-1.726951849999864,-1.1865369499998906,-2.7321707499997956,31.58,47.87,210668R2_20250621_141914,1750490354.8909733,12
-2.771894839999959,-1.3765440099998614,-0.7496729099998447,-3.4815323199995873,31.56,47.9,210668R2_20250621_141914,1750490354.8909733,13
-2.764286689999949,-1.4361711099998047,-0.7119221699998661,-4.83930244999965,31.56,47.93,210668R2_20250621_141914,1750490354.8909733,14
-3.277586680000013,-0.9665090699999155,-0.3505596099997774,-3.873123759999771,31.54,47.9,210668R2_20250621_141914,1750490354.8909733,15
-4.754142489999936,-1.515673909999805,-0.6615878499999326,-6.316329289999885,31.56,47.97,210668R2_20250621_141914,1750490354.8909733,16
-4.025360500000033,-0.8012429999999995,-0.12583580000000438,-5.807432899999867,31.53,47.92,210668R2_20250621_141914,1750490354.8909733,17
-4.257298279999986,-1.125514669999916,-0.24989096999979665,-6.827177439999787,31.54,47.98,210668R2_20250621_141914,1750490354.8909733,18
