GM102B_rel,GM302B_rel,GM502B_rel,GM702B_rel,temperature,humidity,treatment,timestamp,time
0.0,0.0,0.0,0.0,32.48,46.96,With_Mealybug_2_20250621_133917,1750487957.5503366,1
-0.007608150000010028,0.059627100000057,0.9622492600000214,0.35777012999983526,32.48,46.93,With_Mealybug_2_20250621_133917,1750487957.5503366,2
-0.005072100000006685,0.0397514000000001,-0.025167159999909927,0.23851342000011755,32.48,46.94,With_Mealybug_2_20250621_133917,1750487957.5503366,3
-0.2572982800001,-0.12551467000014327,-0.24989097000002403,0.1728225599997586,32.49,46.92,With_Mealybug_2_20250621_133917,1750487957.5503366,4
-0.0025360500000033426,0.019875699999943208,-0.012583579999954964,0.11925670999994509,32.48,46.95,With_Mealybug_2_20250621_133917,1750487957.5503366,5
-0.24715408000008665,-0.20501747000014348,-0.19955665000009049,-0.30420428000002175,32.49,46.96,With_Mealybug_2_20250621_133917,1750487957.5503366,6
-0.01014420000001337,0.0795028000000002,-0.05033431999993354,0.4770268400000077,32.48,46.92,With_Mealybug_2_20250621_133917,1750487957.5503366,7
-0.5145965600000864,-0.25102934000005916,-0.49978194000004805,0.34564511999997194,32.5,46.88,With_Mealybug_2_20250621_133917,1750487957.5503366,8
-0.37142053000013675,0.7688918299999159,-0.8161520700000438,5.539374509999789,32.49,46.47,With_Mealybug_2_20250621_133917,1750487957.5503366,9
-0.47032648000003974,1.544044129999861,-1.3069116900001063,9.19038619999992,32.49,46.08,With_Mealybug_2_20250621_133917,1750487957.5503366,10
-0.7998736400001007,1.7156161399999519,-1.0605819800001655,10.442186919999813,32.46,45.8,With_Mealybug_2_20250621_133917,1750487957.5503366,11
-1.3474388500000032,1.7229708999999502,-2.723950459999969,10.33816926999998,32.48,45.59,With_Mealybug_2_20250621_133917,1750487957.5503366,12
-1.4044714300000578,2.9008033800000703,-2.152228300000047,11.701607169999988,32.44,45.41,With_Mealybug_2_20250621_133917,1750487957.5503366,13
-3.9266761400000405,2.7094011399999545,-2.6897609800000737,11.405022419999796,32.46,45.3,With_Mealybug_2_20250621_133917,1750487957.5503366,14
-4.43873665000001,2.438496100000066,-3.1769593399999394,10.63141083000005,32.48,45.23,With_Mealybug_2_20250621_133917,1750487957.5503366,15
-4.223254650000058,2.622589049999874,-3.279844730000036,13.106485909999947,32.43,45.15,With_Mealybug_2_20250621_133917,1750487957.5503366,16
-4.982469240000114,2.1466665399999556,-3.966599740000106,11.028670039999952,32.46,45.08,With_Mealybug_2_20250621_133917,1750487957.5503366,17
-4.504616859999942,3.4165227600000208,-2.7944270000000415,13.092409139999972,32.4,45.06,With_Mealybug_2_20250621_133917,1750487957.5503366,18
-6.0065331700000115,3.0661149199999045,-3.2312910400000874,12.841770709999992,32.42,45.03,With_Mealybug_2_20250621_133917,1750487957.5503366,19
-6.271439600000008,2.000227349999932,-3.51893275000009,12.372363399999813,32.43,44.96,With_Mealybug_2_20250621_133917,1750487957.5503366,20
-6.524905259999969,2.575528360000021,-2.8950956400000223,13.046462819999988,32.4,44.98,With_Mealybug_2_20250621_133917,1750487957.5503366,21
-7.016677370000025,2.1456177199999047,-4.281625360000135,12.318797549999772,32.42,44.99,With_Mealybug_2_20250621_133917,1750487957.5503366,22
-7.275215129999992,2.760670129999994,-3.6829554100000905,12.231410389999837,32.39,44.99,With_Mealybug_2_20250621_133917,1750487957.5503366,23
-8.016677370000025,2.1456177199999047,-4.281625360000135,11.318797549999772,32.42,44.99,With_Mealybug_2_20250621_133917,1750487957.5503366,24
-8.257462779999969,2.621540229999937,-3.5948703500000647,10.396613419999767,32.39,45.06,With_Mealybug_2_20250621_133917,1750487957.5503366,25
-7.770762769999919,3.0912022700000534,-3.233507789999976,11.362792109999873,32.37,45.03,With_Mealybug_2_20250621_133917,1750487957.5503366,26
-7.772002250000014,3.831769349999945,-2.3849468700000216,12.102582389999952,32.33,45.07,With_Mealybug_2_20250621_133917,1750487957.5503366,27
-8.263774360000184,2.401858709999942,-3.7714765900000202,11.374917119999964,32.35,45.08,With_Mealybug_2_20250621_133917,1750487957.5503366,28
-7.764394100000004,2.7721422500000017,-3.3471961299999293,11.744812260000117,32.33,45.1,With_Mealybug_2_20250621_133917,1750487957.5503366,29
-7.761858050000001,2.752266549999945,-3.3346125499999744,11.625555549999945,32.33,45.11,With_Mealybug_2_20250621_133917,1750487957.5503366,30
-8.751713849999987,2.6727637499999446,-3.284278229999927,11.148528710000164,32.33,45.15,With_Mealybug_2_20250621_133917,1750487957.5503366,31
-8.265013840000165,3.1424257899999475,-2.9229156700001795,12.114707399999816,32.31,45.12,With_Mealybug_2_20250621_133917,1750487957.5503366,32
-8.750417280000079,2.3934551300000066,-2.4231337300000177,10.769062279999844,32.29,45.2,With_Mealybug_2_20250621_133917,1750487957.5503366,33
-8.747881230000075,2.3735794299999498,-2.410550150000063,10.649805569999899,32.29,45.21,With_Mealybug_2_20250621_133917,1750487957.5503366,34
-8.001346890000036,2.948880440000039,-1.786713039999995,11.323904990000074,32.26,45.23,With_Mealybug_2_20250621_133917,1750487957.5503366,35
-8.49058295000009,2.4990940999999793,-2.1606591800000388,10.476983009999913,32.28,45.25,With_Mealybug_2_20250621_133917,1750487957.5503366,36
-7.4943584800000735,3.259536879999928,-1.3246818400000393,11.33602999999971,32.24,45.28,With_Mealybug_2_20250621_133917,1750487957.5503366,37
-8.733904410000036,2.9948923099999547,-1.4864877500000375,10.674055589999853,32.25,45.31,With_Mealybug_2_20250621_133917,1750487957.5503366,38
-8.731368360000033,2.9750166100000115,-1.4739041700000826,10.554798879999908,32.25,45.32,With_Mealybug_2_20250621_133917,1750487957.5503366,39
-8.47660613000005,3.1204069799999843,-2.2365967800000135,10.501233029999867,32.24,45.35,With_Mealybug_2_20250621_133917,1750487957.5503366,40
-7.724999690000004,3.655956589999846,-1.5875925100000359,10.936819029999924,32.21,45.39,With_Mealybug_2_20250621_133917,1750487957.5503366,41
-7.730071790000011,3.69570798999996,-1.6127596700000595,11.175332449999814,32.21,45.37,With_Mealybug_2_20250621_133917,1750487957.5503366,42
-8.223083380000048,3.0063644299999623,-2.15072846999999,11.187457459999905,32.19,45.42,With_Mealybug_2_20250621_133917,1750487957.5503366,43
-7.718631020000089,3.336896569999908,-0.7012808500001029,11.318839179999713,32.17,45.46,With_Mealybug_2_20250621_133917,1750487957.5503366,44
-7.716094970000086,3.317020869999965,-0.6886972700001479,11.199582469999996,32.17,45.47,With_Mealybug_2_20250621_133917,1750487957.5503366,45
-6.475252469999987,4.30235682,0.33425313999998707,12.482090449999987,32.12,45.49,With_Mealybug_2_20250621_133917,1750487957.5503366,46
-6.954344330000026,3.7730676800000538,0.010641319999876941,11.158141629999818,32.14,45.55,With_Mealybug_2_20250621_133917,1750487957.5503366,47
-6.200201839999977,4.288741589999972,0.6722291700000369,10.47447091999993,32.11,45.6,With_Mealybug_2_20250621_133917,1750487957.5503366,48
-6.708429730000148,4.718652229999975,0.05875888999992185,12.20213618999992,32.09,45.59,With_Mealybug_2_20250621_133917,1750487957.5503366,49
-6.698285530000135,3.639149429999975,0.10909320999996908,11.725109349999684,32.09,45.63,With_Mealybug_2_20250621_133917,1750487957.5503366,50
-6.191297120000058,3.9498058699999774,0.5711244100000386,11.737234359999775,32.07,45.68,With_Mealybug_2_20250621_133917,1750487957.5503366,51
-5.696988959999999,4.359840810000037,0.9702377099999921,12.345642920000046,32.05,45.68,With_Mealybug_2_20250621_133917,1750487957.5503366,52
-5.444762780000019,4.525106879999953,1.1949615199998789,12.41133377999995,32.04,45.7,With_Mealybug_2_20250621_133917,1750487957.5503366,53
-4.950454620000073,4.935141819999899,1.5940748199998325,13.019742339999766,32.02,45.7,With_Mealybug_2_20250621_133917,1750487957.5503366,54
-3.944085950000158,5.616081799999961,2.480386479999879,13.40176249000001,31.98,45.77,With_Mealybug_2_20250621_133917,1750487957.5503366,55
-4.933941750000145,5.536578999999961,2.5307207999999264,12.924735649999775,31.98,45.81,With_Mealybug_2_20250621_133917,1750487957.5503366,56
-4.671571370000038,5.62234226999999,2.805778929999974,12.513399669999899,31.97,45.87,With_Mealybug_2_20250621_133917,1750487957.5503366,57
-4.177263210000092,6.03237721000005,3.2048922299999276,13.121808229999942,31.95,45.87,With_Mealybug_2_20250621_133917,1750487957.5503366,58
-3.9275730800001156,6.217518979999909,3.417032459999973,13.306755800000019,31.94,45.88,With_Mealybug_2_20250621_133917,1750487957.5503366,59
-3.672810850000019,6.362909349999995,2.6543398499999284,13.253189949999978,31.93,45.91,With_Mealybug_2_20250621_133917,1750487957.5503366,60
-3.899676530000079,4.998886279999965,2.5554518399999324,11.994931989999941,31.94,45.99,With_Mealybug_2_20250621_133917,1750487957.5503366,61
-2.4091439000000037,6.169363999999973,3.790542479999999,13.462387540000009,31.88,46.02,With_Mealybug_2_20250621_133917,1750487957.5503366,62
-2.4091439000000037,6.169363999999973,3.790542479999999,13.462387540000009,31.88,46.02,With_Mealybug_2_20250621_133917,1750487957.5503366,63
-2.670217710000088,6.804292110000006,4.376628849999975,14.49425709000002,31.85,46.01,With_Mealybug_2_20250621_133917,1750487957.5503366,64
-2.1556211500001154,7.055321449999951,4.876410790000023,14.148611970000047,31.83,46.09,With_Mealybug_2_20250621_133917,1750487957.5503366,65
