GM102B_rel,GM302B_rel,GM502B_rel,GM702B_rel,color,source
0,1,-1,-1,orange,pumpkin
0,1,-1,-1,orange,pumpkin
1,1,-1,-1,orange,pumpkin
1,1,0,-1,orange,pumpkin
1,1,0,-1,orange,pumpkin
1,1,0,-1,orange,pumpkin
1,1,0,-1,orange,pumpkin
0,1,0,-1,orange,pumpkin
0,1,-1,-1,orange,pumpkin
0,1,-1,-1,orange,pumpkin
0,0,-1,-1,orange,pumpkin
0,0,-1,-1,orange,pumpkin
0,0,-2,-2,orange,pumpkin
0,0,-1,-1,orange,pumpkin
1,0,-1,-1,orange,pumpkin
0,0,0,0,orange,pumpkin
0,0,0,0,orange,pumpkin
1,-1,0,0,orange,pumpkin
1,-1,0,0,orange,pumpkin
1,0,0,0,orange,pumpkin
1,0,1,1,orange,pumpkin
1,1,1,2,orange,pumpkin
2,1,1,2,orange,pumpkin
2,1,1,2,orange,pumpkin
2,1,1,2,orange,pumpkin
2,1,1,2,orange,pumpkin
2,0,1,2,orange,pumpkin
1,1,1,1,orange,pumpkin
1,0,1,1,orange,pumpkin
1,1,1,1,orange,pumpkin
1,0,1,1,orange,pumpkin
1,1,1,1,orange,pumpkin
1,1,1,1,orange,pumpkin
1,1,1,1,orange,pumpkin
1,1,1,1,orange,pumpkin
1,1,1,1,orange,pumpkin
1,1,1,1,orange,pumpkin
1,1,1,1,orange,pumpkin
1,1,1,1,orange,pumpkin
1,1,1,1,orange,pumpkin
0,1,1,1,orange,pumpkin
1,1,1,1,orange,pumpkin
1,1,1,1,orange,pumpkin
0,1,1,1,orange,pumpkin
0,1,1,1,orange,pumpkin
1,1,1,1,orange,pumpkin
0,1,1,1,orange,pumpkin
0,1,1,1,orange,pumpkin
0,1,0,1,orange,pumpkin
0,1,0,1,orange,pumpkin
0,1,0,1,orange,pumpkin
0,1,0,0,orange,pumpkin
1,1,0,0,orange,pumpkin
1,1,0,0,orange,pumpkin
1,1,0,0,orange,pumpkin
1,1,1,-1,orange,pumpkin
1,0,1,-1,orange,pumpkin
1,0,1,0,orange,pumpkin
0,0,1,0,orange,pumpkin
0,0,1,0,orange,pumpkin
0,0,0,0,orange,pumpkin
0,0,0,0,orange,pumpkin
0,0,0,0,orange,pumpkin
0,0,0,0,orange,pumpkin
0,0,0,0,orange,pumpkin
0,0,0,0,orange,pumpkin
0,0,0,-1,orange,pumpkin
0,0,0,-1,orange,pumpkin
0,0,0,-1,orange,pumpkin
-1,0,0,-1,orange,pumpkin
-1,0,0,-1,orange,pumpkin
-1,0,0,-1,orange,pumpkin
0,0,0,0,orange,pumpkin
0,0,0,0,orange,pumpkin
1,-1,0,0,orange,pumpkin
1,-1,0,1,orange,pumpkin
1,0,0,1,orange,pumpkin
1,0,0,2,orange,pumpkin
1,0,0,2,orange,pumpkin
2,1,0,2,orange,pumpkin
2,1,1,2,orange,pumpkin
2,1,1,2,orange,pumpkin
1,1,1,2,orange,pumpkin
1,1,1,2,orange,pumpkin
1,1,1,2,orange,pumpkin
1,1,1,2,orange,pumpkin
2,1,2,2,orange,pumpkin
2,1,1,2,orange,pumpkin
2,1,2,2,orange,pumpkin
1,2,1,2,orange,pumpkin
1,2,1,2,orange,pumpkin
1,2,1,2,orange,pumpkin
1,2,2,2,orange,pumpkin
1,2,2,2,orange,pumpkin
2,2,2,2,orange,pumpkin
2,2,2,1,orange,pumpkin
2,2,2,1,orange,pumpkin
2,2,2,1,orange,pumpkin
1,2,2,1,orange,pumpkin
1,2,1,1,orange,pumpkin
1,2,1,1,orange,pumpkin
1,2,1,2,orange,pumpkin
1,1,1,2,orange,pumpkin
1,1,1,1,orange,pumpkin
1,1,1,1,orange,pumpkin
0,1,1,1,orange,pumpkin
0,1,1,1,orange,pumpkin
0,1,1,1,orange,pumpkin
0,1,1,1,orange,pumpkin
0,2,1,1,orange,pumpkin
0,2,1,1,orange,pumpkin
0,2,1,1,orange,pumpkin
0,1,1,0,orange,pumpkin
0,1,1,0,orange,pumpkin
0,1,1,0,orange,pumpkin
0,1,1,0,orange,pumpkin
0,1,1,0,orange,pumpkin
0,1,1,1,orange,pumpkin
0,1,1,1,orange,pumpkin
0,1,1,1,orange,pumpkin
0,1,1,1,orange,pumpkin
0,2,1,1,orange,pumpkin
0,2,1,1,orange,pumpkin
0,2,1,0,orange,pumpkin
0,2,1,0,orange,pumpkin
0,1,1,0,orange,pumpkin
0,1,1,0,orange,pumpkin
0,1,1,0,orange,pumpkin
0,1,0,0,orange,pumpkin
0,0,0,0,orange,pumpkin
0,0,0,0,orange,pumpkin
1,0,0,1,orange,pumpkin
1,0,1,1,orange,pumpkin
2,0,1,1,orange,pumpkin
2,0,1,2,orange,pumpkin
3,1,2,3,orange,pumpkin
3,1,2,3,orange,pumpkin
3,1,2,3,orange,pumpkin
3,1,2,3,orange,pumpkin
2,1,2,3,orange,pumpkin
2,1,2,3,orange,pumpkin
2,1,2,3,orange,pumpkin
1,2,2,3,orange,pumpkin
1,2,2,3,orange,pumpkin
0,2,2,3,orange,pumpkin
0,1,2,3,orange,pumpkin
0,1,2,2,orange,pumpkin
-1,1,2,2,orange,pumpkin
-1,1,2,2,orange,pumpkin
-1,1,2,2,orange,pumpkin
-1,1,2,1,orange,pumpkin
-2,1,2,1,orange,pumpkin
-2,1,1,1,orange,pumpkin
-3,1,1,1,orange,pumpkin
-3,1,1,1,orange,pumpkin
-3,1,1,1,orange,pumpkin
-3,2,1,1,orange,pumpkin
-3,2,1,1,orange,pumpkin
-4,2,1,1,orange,pumpkin
-4,2,2,0,orange,pumpkin
-4,2,2,1,orange,pumpkin
-4,2,1,0,orange,pumpkin
-4,2,1,0,orange,pumpkin
-4,2,1,0,orange,pumpkin
-4,2,1,0,orange,pumpkin
-4,2,1,0,orange,pumpkin
-4,2,1,1,orange,pumpkin
-5,2,1,1,orange,pumpkin
-5,2,1,0,orange,pumpkin
-5,2,1,0,orange,pumpkin
-5,2,1,0,orange,pumpkin
-5,2,1,-1,orange,pumpkin
-6,2,1,-1,orange,pumpkin
-6,2,1,-1,orange,pumpkin
-6,2,1,-1,orange,pumpkin
-6,2,1,-1,orange,pumpkin
-6,1,0,-1,orange,pumpkin
-6,1,0,-1,orange,pumpkin
-6,1,0,-1,orange,pumpkin
-7,1,0,-1,orange,pumpkin
-7,1,0,-1,orange,pumpkin
-7,1,0,-1,orange,pumpkin
-7,1,0,-1,orange,pumpkin
-7,1,0,-1,orange,pumpkin
-7,1,0,-1,orange,pumpkin
-7,1,0,-2,orange,pumpkin
0,0,0,0,gray,air
1,0,0,0,gray,air
1,-1,0,0,gray,air
1,-1,0,0,gray,air
1,-1,0,0,gray,air
1,-1,0,0,gray,air
1,-1,0,0,gray,air
1,-1,0,0,gray,air
1,-1,0,0,gray,air
1,-1,0,0,gray,air
1,-1,0,0,gray,air
1,-1,0,0,gray,air
1,-1,0,0,gray,air
1,-1,0,0,gray,air
1,-1,0,1,gray,air
1,-1,0,1,gray,air
1,0,1,1,gray,air
1,0,1,1,gray,air
0,0,1,1,gray,air
0,0,1,1,gray,air
0,0,1,0,gray,air
0,0,1,0,gray,air
0,0,1,0,gray,air
0,0,1,0,gray,air
0,0,1,-1,gray,air
0,0,1,-1,gray,air
0,0,1,-1,gray,air
0,0,1,-1,gray,air
0,0,1,-1,gray,air
0,0,1,-1,gray,air
0,0,1,-1,gray,air
0,0,1,-1,gray,air
0,0,1,-1,gray,air
0,0,1,-1,gray,air
0,0,1,-1,gray,air
0,0,1,-1,gray,air
0,0,1,-1,gray,air
0,0,1,-1,gray,air
0,0,1,-1,gray,air
-1,0,0,-1,gray,air
-1,-1,0,-1,gray,air
-1,-1,0,-1,gray,air
-1,-1,0,-1,gray,air
-1,-1,0,-1,gray,air
0,-1,0,-1,gray,air
0,-1,0,-1,gray,air
0,-1,0,-1,gray,air
0,-1,0,-1,gray,air
0,-1,0,-1,gray,air
0,-1,0,-2,gray,air
0,-1,0,-2,gray,air
-1,0,0,-1,gray,air
-1,-1,0,-1,gray,air
-1,0,0,-1,gray,air
-1,0,0,-1,gray,air
-1,0,0,-1,gray,air
0,0,0,0,gray,air
1,0,0,0,gray,air
0,0,0,0,gray,air
1,0,0,0,gray,air
1,0,0,0,gray,air
2,0,0,1,gray,air
2,1,0,2,gray,air
2,1,1,2,gray,air
2,1,1,2,gray,air
2,1,1,2,gray,air
2,1,1,2,gray,air
2,1,1,2,gray,air
2,1,1,2,gray,air
1,1,1,1,gray,air
1,1,1,1,gray,air
1,1,1,1,gray,air
1,1,1,1,gray,air
1,1,1,1,gray,air
1,1,1,1,gray,air
1,1,1,1,gray,air
0,1,1,1,gray,air
0,1,1,1,gray,air
0,1,1,1,gray,air
0,1,1,1,gray,air
0,1,1,0,gray,air
0,1,1,0,gray,air
0,1,1,0,gray,air
0,1,1,0,gray,air
0,1,1,0,gray,air
0,1,0,0,gray,air
0,1,0,0,gray,air
0,1,0,0,gray,air
0,1,0,0,gray,air
0,1,0,0,gray,air
0,1,0,0,gray,air
0,1,0,0,gray,air
0,1,0,0,gray,air
0,1,1,0,gray,air
-1,1,0,-1,gray,air
-1,1,1,0,gray,air
-1,1,1,0,gray,air
-1,1,1,0,gray,air
-1,1,1,0,gray,air
-1,1,1,0,gray,air
-1,1,1,0,gray,air
-1,2,1,0,gray,air
-1,2,1,0,gray,air
-1,2,1,0,gray,air
-1,2,0,0,gray,air
-1,2,0,0,gray,air
-1,2,0,0,gray,air
-1,2,0,0,gray,air
-1,2,0,0,gray,air
-1,2,0,-1,gray,air
-1,2,0,-1,gray,air
-1,2,0,-1,gray,air
-1,1,0,-1,gray,air
0,0,0,0,green,homthai
0,0,0,0,green,homthai
0,0,0,0,green,homthai
0,0,0,1,green,homthai
0,0,0,1,green,homthai
1,0,1,1,green,homthai
1,0,1,1,green,homthai
1,1,1,1,green,homthai
1,1,1,1,green,homthai
1,1,2,1,green,homthai
1,1,2,1,green,homthai
0,1,2,1,green,homthai
0,1,2,1,green,homthai
0,1,2,1,green,homthai
0,1,2,1,green,homthai
0,1,2,0,green,homthai
0,1,2,0,green,homthai
0,1,2,0,green,homthai
0,1,2,0,green,homthai
0,1,2,0,green,homthai
-1,1,2,-1,green,homthai
-1,1,2,-1,green,homthai
-1,1,2,-1,green,homthai
-1,1,2,-1,green,homthai
-2,1,2,-1,green,homthai
-2,1,2,-1,green,homthai
-2,1,2,-1,green,homthai
-2,1,2,-1,green,homthai
-2,1,1,-1,green,homthai
-3,1,2,-1,green,homthai
-3,1,2,-1,green,homthai
-3,1,2,-1,green,homthai
-3,1,2,-1,green,homthai
-3,1,2,-1,green,homthai
-3,1,2,-1,green,homthai
-3,1,1,-1,green,homthai
